,ylat,xlon,SSS,MLD,SST,pCO2,k=5,k=10,k=15
0,-77.5,179.5,34.5399703979,413.83190918,-1.82961118221,348.44317255,2,7,7
1,-77.5,180.5,34.5241355896,411.030456543,-1.81889104843,348.276930185,2,7,7
2,-77.5,181.5,34.5030784607,405.52835083,-1.80668067932,347.96290813,2,7,7
3,-77.5,182.5,34.4783973694,393.48034668,-1.79651176929,347.347614971,2,7,7
4,-77.5,183.5,34.4527130127,366.28024292,-1.79254817963,346.330935568,2,7,7
5,-77.5,184.5,34.4258880615,313.826416016,-1.79151594639,344.969776077,2,7,7
6,-77.5,185.5,34.3994026184,189.990615845,-1.78447902203,343.58447159,2,9,11
7,-77.5,186.5,34.3772239685,162.44670105,-1.78042161465,342.167279418,2,9,11
8,-77.5,187.5,34.3576927185,147.946380615,-1.78217303753,340.584631196,2,1,6
9,-77.5,188.5,34.3398704529,137.060409546,-1.78737449646,338.930801896,2,1,6
10,-77.5,189.5,34.3235740662,125.304588318,-1.79248476028,337.368559138,2,1,6
11,-77.5,190.5,34.3092765808,117.971046448,-1.79642903805,335.936783467,2,1,6
12,-77.5,191.5,34.2970466614,118.163658142,-1.7998726368,334.56330832,2,1,6
13,-77.5,192.5,34.2860641479,118.517463684,-1.80281126499,333.196904651,2,1,6
14,-77.5,193.5,34.2758293152,119.400444031,-1.80396509171,331.886991127,2,1,6
15,-77.5,194.5,34.2664299011,120.921577454,-1.80079340935,330.773380546,2,1,6
16,-77.5,195.5,34.2571411133,121.635787964,-1.79866206646,329.851524583,2,1,6
17,-77.5,196.5,34.2478370667,123.475784302,-1.79898118973,329.058810654,2,1,6
18,-77.5,197.5,34.2380752563,126.255599976,-1.80177974701,328.341056083,2,1,6
19,-77.5,198.5,34.2275619507,129.080734253,-1.80530309677,327.669493488,2,1,6
20,-77.5,199.5,34.2185096741,132.020080566,-1.80827760696,327.130760666,2,1,6
21,-77.5,200.5,34.213092804,134.778778076,-1.81075966358,326.824358007,2,1,6
22,-77.5,314.5,34.582069397,148.407730103,-1.83509707451,357.692603301,2,9,11
23,-77.5,315.5,34.5795288086,184.803344727,-1.8374131918,357.612922442,2,9,11
24,-77.5,316.5,34.5745277405,225.111343384,-1.83885633945,357.61544549,2,7,7
25,-77.5,317.5,34.5672035217,247.09072876,-1.83887565136,357.651983373,2,7,7
26,-77.5,318.5,34.5584411621,247.299835205,-1.83765494823,357.644432238,2,7,7
27,-77.5,319.5,34.5485725403,245.409347534,-1.83460259438,357.534750505,2,7,7
28,-77.5,320.5,34.5380592346,223.308685303,-1.8274576664,357.346828485,2,7,7
29,-77.5,321.5,34.5271720886,206.330535889,-1.82103550434,357.036097693,2,7,7
30,-77.5,322.5,34.5150871277,193.873184204,-1.81753396988,356.6426137,2,9,11
31,-77.5,323.5,34.5019340515,186.735107422,-1.81502044201,356.27271025,2,9,11
32,-77.5,324.5,34.4912338257,177.108276367,-1.81232130527,356.040494102,2,9,11
33,-76.5,164.5,34.7776031494,385.465454102,-1.84328854084,354.770279454,2,7,7
34,-76.5,165.5,34.7715263367,356.843231201,-1.83668684959,354.52023801,2,7,7
35,-76.5,166.5,34.7623710632,312.530761719,-1.832072258,354.03178077,2,7,7
36,-76.5,167.5,34.7505302429,288.956237793,-1.82898390293,353.430242741,2,7,7
37,-76.5,168.5,34.7358894348,279.884094238,-1.82762753963,352.764607587,2,7,7
38,-76.5,169.5,34.7177276611,280.908050537,-1.82826888561,352.104205491,2,7,7
39,-76.5,170.5,34.6954841614,286.931610107,-1.83067941666,351.42955064,2,7,7
40,-76.5,171.5,34.6721458435,293.376495361,-1.82819080353,350.909867431,2,7,7
41,-76.5,172.5,34.6494674683,293.59262085,-1.81688451767,350.665892137,2,7,7
42,-76.5,173.5,34.6274986267,287.663146973,-1.79996883869,350.666481898,2,7,7
43,-76.5,174.5,34.6063613892,284.895782471,-1.78377306461,350.708663184,2,7,7
44,-76.5,175.5,34.5861740112,287.078735352,-1.76866841316,350.718525468,2,7,7
45,-76.5,176.5,34.5666999817,296.607879639,-1.75484764576,350.639777457,2,7,7
46,-76.5,177.5,34.5474052429,307.38192749,-1.74151718616,350.460740739,2,7,7
47,-76.5,178.5,34.5278511047,316.183410645,-1.72787725925,350.162064686,2,7,7
48,-76.5,179.5,34.5081520081,315.937988281,-1.71630346775,349.743570273,2,7,7
49,-76.5,180.5,34.487739563,296.64364624,-1.70991289616,349.153108453,2,7,7
50,-76.5,181.5,34.4649467468,236.940551758,-1.70769512653,348.40462204,2,7,7
