,ylat,xlon,SSS,MLD,SST,pCO2,k=5,k=10,k=15
0,-77.5,179.5,33.8775405884,15.9484167099,1.34977769852,155.399963399,2,6,10
1,-77.5,180.5,33.8312530518,15.0722494125,1.21409499645,153.832619768,2,6,10
2,-77.5,181.5,33.7735900879,14.2339344025,1.03577709198,151.635293649,2,6,10
3,-77.5,182.5,33.7125549316,13.4529829025,0.825134158134,149.043506515,2,6,10
4,-77.5,183.5,33.6570625305,12.7890434265,0.59841132164,146.350143888,2,6,10
5,-77.5,184.5,33.6060295105,12.165520668,0.331765800714,143.513263698,2,6,10
6,-77.5,185.5,33.5609817505,11.6089391708,0.0219145547599,140.725124315,2,6,10
7,-77.5,186.5,33.5330657959,11.3078069687,-0.236162722111,138.559746618,2,6,10
8,-77.5,187.5,33.5184173584,11.1731386185,-0.421873241663,136.879729354,2,6,10
9,-77.5,188.5,33.5121307373,11.1801071167,-0.558116078377,135.62347331,2,6,10
10,-77.5,189.5,33.5116081238,11.208697319,-0.646716535091,134.780151484,2,6,10
11,-77.5,190.5,33.5137176514,11.2593183517,-0.681052923203,134.096643261,2,6,10
12,-77.5,191.5,33.5145874023,11.3719091415,-0.665776669979,133.261336985,2,6,10
13,-77.5,192.5,33.5110244751,11.494011879,-0.618717372417,132.198269919,2,6,10
14,-77.5,193.5,33.5010871887,11.5919160843,-0.54821062088,131.01614327,2,6,10
15,-77.5,194.5,33.4848594666,11.6464939117,-0.442914694548,129.962546928,2,6,10
16,-77.5,195.5,33.4736404419,11.6474218369,-0.346520721912,129.325106049,2,6,10
17,-77.5,196.5,33.4595603943,11.5737247467,-0.265392154455,128.694918869,2,6,10
18,-77.5,197.5,33.4409408569,11.4185152054,-0.204952254891,127.993076268,2,6,10
19,-77.5,198.5,33.4178237915,11.1850090027,-0.17382414639,127.239308705,2,6,10
20,-77.5,199.5,33.4009780884,10.9571275711,-0.134598106146,126.744934717,2,6,10
21,-77.5,200.5,33.3992042542,10.8315706253,-0.0633795931935,126.693884502,2,6,10
22,-77.5,314.5,33.9621124268,11.3583993912,-1.03441786766,202.046924755,2,6,10
23,-77.5,315.5,33.9605789185,11.5868062973,-1.02413117886,203.440715455,2,6,10
24,-77.5,316.5,33.9535942078,11.7696819305,-1.0326551199,204.837865469,2,6,10
25,-77.5,317.5,33.9442558289,11.936753273,-1.05616664886,206.474426345,2,6,10
26,-77.5,318.5,33.9330215454,12.0364341736,-1.07850337029,208.264679872,2,6,10
27,-77.5,319.5,33.9191627502,11.9580259323,-1.09426379204,210.002407325,2,6,10
28,-77.5,320.5,33.9031028748,11.7440185547,-1.10399889946,211.518113596,2,6,10
29,-77.5,321.5,33.8872146606,11.5544662476,-1.09597849846,213.164084468,2,6,10
30,-77.5,322.5,33.8663444519,11.3266239166,-1.06889593601,215.009659172,2,6,10
31,-77.5,323.5,33.8400726318,11.027923584,-1.03743195534,217.106791773,2,6,10
32,-77.5,324.5,33.8181343079,10.7432308197,-1.00266706944,219.022048391,2,6,10
33,-76.5,164.5,34.3452606201,14.747543335,3.20323991776,155.704952378,2,6,10
34,-76.5,165.5,34.3423652649,14.7435045242,3.19060897827,156.485480611,2,6,10
35,-76.5,166.5,34.3386650085,14.9447374344,3.12684059143,157.441387081,2,6,10
36,-76.5,167.5,34.3322525024,15.3047056198,3.01129317284,158.383489935,2,6,10
37,-76.5,168.5,34.3199119568,15.5966014862,2.89427876472,159.492603258,2,6,10
38,-76.5,169.5,34.2997932434,15.8655443192,2.76085424423,160.547222258,2,6,10
39,-76.5,170.5,34.2684555054,16.166721344,2.60905385017,161.490403119,2,6,10
40,-76.5,171.5,34.2307701111,16.4025764465,2.4512720108,162.13002589,2,6,10
41,-76.5,172.5,34.1884002686,16.3447933197,2.27587914467,162.289746216,2,6,10
42,-76.5,173.5,34.1392745972,15.9970064163,2.07140469551,161.950261945,2,6,10
43,-76.5,174.5,34.0831413269,15.6736154556,1.85022974014,161.160135508,2,6,10
44,-76.5,175.5,34.0228424072,15.4032564163,1.61098051071,160.002747749,2,6,10
