,ylat,xlon,SSS,MLD,SST,pCO2,k=5,k=10,k=15
0,-77.5,179.5,33.7089805603,26.617723465,-0.214174285531,162.460165071,4,7,14
1,-77.5,180.5,33.674861908,25.2634792328,-0.277018129826,161.689390399,4,7,14
2,-77.5,181.5,33.6337432861,24.0637989044,-0.367178320885,160.635089135,4,7,14
3,-77.5,182.5,33.5913047791,22.8988304138,-0.478809416294,159.442112995,4,7,14
4,-77.5,183.5,33.5522956848,21.8160152435,-0.601009309292,158.245514099,4,7,14
5,-77.5,184.5,33.5161323547,20.7724819183,-0.734932303429,157.085517958,4,7,14
6,-77.5,185.5,33.483417511,19.973739624,-0.876898884773,156.064563059,4,7,14
7,-77.5,186.5,33.4609069824,19.5520629883,-0.988514184952,155.276191969,4,7,14
8,-77.5,187.5,33.4474258423,19.3794822693,-1.06064617634,154.587949733,4,7,14
9,-77.5,188.5,33.4396743774,19.3772315979,-1.10033833981,154.01766651,4,7,14
10,-77.5,189.5,33.4358711243,19.3187427521,-1.11483824253,153.501515081,4,7,14
11,-77.5,190.5,33.4343910217,19.2342014313,-1.10664188862,152.754562289,4,7,14
12,-77.5,191.5,33.4328994751,19.2162055969,-1.07790839672,151.479974629,4,7,14
13,-77.5,192.5,33.4287567139,19.167596817,-1.03453266621,149.591811748,4,7,14
14,-77.5,193.5,33.4202079773,19.0794448853,-0.981647133827,147.122079778,4,7,14
15,-77.5,194.5,33.4069976807,18.9385738373,-0.918115496635,144.181146769,4,7,14
16,-77.5,195.5,33.3918800354,18.5877437592,-0.871889770031,141.615990928,4,7,14
17,-77.5,196.5,33.3730621338,18.2680015564,-0.84372985363,139.101626719,4,7,14
18,-77.5,197.5,33.3515052795,18.0208244324,-0.8303399086,136.648515772,4,7,14
19,-77.5,198.5,33.3283729553,17.8215332031,-0.82875007391,134.406340508,4,7,14
20,-77.5,199.5,33.3111343384,17.6811294556,-0.828725457191,132.650370935,4,7,14
21,-77.5,200.5,33.3054428101,17.6268920898,-0.823899924755,131.549360401,4,7,14
22,-77.5,314.5,33.9034194946,20.1856231689,-1.31732904911,222.28669217,4,7,14
23,-77.5,315.5,33.8995285034,20.262008667,-1.31304204464,223.269773323,4,7,14
24,-77.5,316.5,33.8903999329,20.2798213959,-1.31158697605,224.442486749,4,7,14
25,-77.5,317.5,33.8770942688,20.2368392944,-1.30830514431,225.830696498,4,7,14
26,-77.5,318.5,33.8600769043,20.1072807312,-1.29732191563,227.350878173,4,7,14
27,-77.5,319.5,33.8391227722,19.7580680847,-1.27476906776,228.900378076,4,7,14
28,-77.5,320.5,33.8159141541,19.3136558533,-1.24298548698,230.35456428,4,7,14
29,-77.5,321.5,33.7949752808,18.8260650635,-1.19995605946,232.088684948,4,7,14
30,-77.5,322.5,33.7719688416,18.5050239563,-1.15658807755,234.002168433,4,7,14
31,-77.5,323.5,33.745880127,18.2677936554,-1.11915528774,236.119948645,4,7,14
32,-77.5,324.5,33.7250442505,18.1149349213,-1.08898663521,237.945624747,4,7,14
33,-76.5,164.5,34.3199882507,25.579044342,1.68915748596,161.639866895,4,7,14
34,-76.5,165.5,34.3107147217,25.440454483,1.68303573132,162.478372717,4,7,14
35,-76.5,166.5,34.2966575623,25.6114711761,1.61666977406,163.551161644,4,7,14
36,-76.5,167.5,34.2769851685,25.9694061279,1.49593698978,164.718737301,4,7,14
37,-76.5,168.5,34.248878479,26.3256053925,1.34408199787,165.922086124,4,7,14
38,-76.5,169.5,34.2103271484,26.710515976,1.17311418056,167.093171054,4,7,14
39,-76.5,170.5,34.1575469971,27.0772571564,0.981415629387,168.188117199,4,7,14
40,-76.5,171.5,34.1010322571,27.3091468811,0.794994831085,169.014502371,4,7,14
41,-76.5,172.5,34.0483779907,26.9720954895,0.627708256245,169.495345376,4,7,14
42,-76.5,173.5,33.9989318848,26.077878952,0.474469065666,169.685870681,4,7,14
43,-76.5,174.5,33.9492492676,25.3272075653,0.32703396678,169.522168574,4,7,14
44,-76.5,175.5,33.8991470337,24.7161998749,0.183118373156,169.08697998,4,7,14
45,-76.5,176.5,33.8484230042,24.1298904419,0.0522375069559,168.530473417,4,7,14
46,-76.5,177.5,33.7977409363,23.4740200043,-0.0706939995289,167.898477083,4,7,14
47,-76.5,178.5,33.7475776672,22.7194385529,-0.182200804353,167.265073116,4,7,14
48,-76.5,179.5,33.6966094971,21.8077354431,-0.295481920242,166.486789824,4,7,14
49,-76.5,180.5,33.6432991028,20.7378692627,-0.411852657795,165.469185973,4,7,14
50,-76.5,181.5,33.589012146,19.7207622528,-0.540142714977,164.374548408,4,7,14
51,-76.5,182.5,33.5397796631,19.1337375641,-0.680950939655,163.784516603,4,7,14
52,-76.5,183.5,33.5032615662,19.1163024902,-0.81254696846,164.200455623,4,7,14
53,-76.5,184.5,33.4803352356,19.0259475708,-0.919267773628,164.812375789,4,7,14
54,-76.5,185.5,33.4627304077,18.8057498932,-1.01332056522,164.782316411,4,7,14
55,-76.5,186.5,33.4519500732,18.6312904358,-1.09535050392,165.453790967,4,7,14
56,-76.5,187.5,33.4444160461,18.578289032,-1.1623994112,166.326006323,4,7,14
57,-76.5,188.5,33.4381065369,18.5786247253,-1.2098031044,167.037253991,4,7,14
58,-76.5,189.5,33.4329299927,18.5965099335,-1.2401008606,167.401025347,4,7,14
59,-76.5,190.5,33.4305725098,18.6259994507,-1.25409436226,167.35690171,4,7,14
60,-76.5,191.5,33.4291534424,18.6410827637,-1.25252330303,166.676723704,4,7,14
61,-76.5,192.5,33.4217643738,18.5803852081,-1.24039340019,164.963101787,4,7,14
62,-76.5,193.5,33.4049301147,18.4116249084,-1.22331500053,162.254542437,4,7,14
63,-76.5,194.5,33.3772354126,18.172832489,-1.20835578442,158.924035583,4,7,14
64,-76.5,195.5,33.3465766907,17.9477539062,-1.20300269127,155.734812045,4,7,14
65,-76.5,196.5,33.3144416809,17.7399311066,-1.20806252956,152.587332507,4,7,14
66,-76.5,197.5,33.2835960388,17.5732898712,-1.21915054321,149.445973751,4,7,14
67,-76.5,198.5,33.2560195923,17.4775371552,-1.23154723644,146.311865111,4,7,14
68,-76.5,199.5,33.233039856,17.4670162201,-1.24298501015,143.188731488,4,7,14
69,-76.5,200.5,33.2146377563,17.5532417297,-1.25492930412,140.097922779,4,7,14
70,-76.5,201.5,33.1990432739,17.7203960419,-1.27348959446,137.194567129,4,7,14
71,-76.5,202.5,33.184551239,17.8429260254,-1.30644142628,134.897611983,4,7,14
72,-76.5,203.5,33.1780395508,17.905921936,-1.3158544302,133.138194818,4,7,14
73,-76.5,204.5,33.1733474731,17.8063793182,-1.30801773071,131.912299116,4,7,14
74,-76.5,205.5,33.1670303345,17.612613678,-1.29324769974,130.904080045,4,7,14
75,-76.5,206.5,33.1597137451,17.3614959717,-1.27438426018,129.994506315,4,7,14
76,-76.5,207.5,33.1531486511,17.0935554504,-1.2486499548,129.223083388,4,7,14
77,-76.5,208.5,33.1496543884,16.8728141785,-1.21667873859,128.67760819,4,7,14
78,-76.5,309.5,33.8421058655,19.5195560455,-1.4047254324,220.148092318,4,7,14
79,-76.5,310.5,33.8392448425,19.2037162781,-1.38360607624,221.082365287,4,7,14
80,-76.5,311.5,33.8342819214,18.8110179901,-1.35756993294,222.274412172,4,7,14
81,-76.5,312.5,33.8298873901,18.5589981079,-1.33518517017,223.768528124,4,7,14
82,-76.5,313.5,33.8228797913,18.3820285797,-1.32090759277,225.377298326,4,7,14
83,-76.5,314.5,33.8127555847,18.2315006256,-1.31098639965,227.161571196,4,7,14
84,-76.5,315.5,33.8009986877,18.145236969,-1.30419790745,229.217051732,4,7,14
85,-76.5,316.5,33.7881507874,18.1221981049,-1.29900610447,231.620718615,4,7,14
