,ylat,xlon,SSS,MLD,SST,pCO2,k=5,k=10,k=15
0,-77.5,179.5,34.4433364868,279.70791626,-1.81181669235,302.481726056,2,3,11
1,-77.5,180.5,34.4298019409,292.492767334,-1.80581569672,301.606430802,2,3,11
2,-77.5,181.5,34.4127540588,305.148773193,-1.80038309097,300.400924672,2,3,11
3,-77.5,182.5,34.3928375244,310.950531006,-1.79776299,298.702434987,2,3,11
4,-77.5,183.5,34.3712768555,302.156066895,-1.79972279072,296.476722279,2,3,11
5,-77.5,184.5,34.3474731445,257.250213623,-1.80388963223,293.796688882,2,3,11
6,-77.5,185.5,34.3207435608,134.947601318,-1.80483829975,290.959584275,2,3,11
7,-77.5,186.5,34.2953910828,113.375991821,-1.80522978306,288.477440727,2,3,8
8,-77.5,187.5,34.2721939087,103.67591095,-1.80844116211,286.099998222,2,3,8
9,-77.5,188.5,34.2500457764,98.5314407349,-1.81235742569,283.852037604,2,1,7
10,-77.5,189.5,34.2291374207,94.7845458984,-1.814879179,281.898332841,1,1,7
11,-77.5,190.5,34.2105255127,92.2538909912,-1.81613922119,280.183568643,1,1,7
12,-77.5,191.5,34.1944503784,91.6212997437,-1.81707346439,278.487738087,1,1,7
13,-77.5,192.5,34.1797828674,91.5108337402,-1.81746101379,276.679813691,1,1,7
14,-77.5,193.5,34.1658592224,91.772819519,-1.81640636921,274.816582726,1,1,7
15,-77.5,194.5,34.1531600952,92.5568084717,-1.81222403049,273.156625922,1,1,7
16,-77.5,195.5,34.1415672302,92.6839447021,-1.80906617641,272.083890108,1,1,7
17,-77.5,196.5,34.130607605,93.3702926636,-1.80915462971,271.401719091,1,1,7
18,-77.5,197.5,34.1195716858,94.6471252441,-1.81238758564,270.981641846,1,1,7
19,-77.5,198.5,34.1078338623,95.8909378052,-1.81669032574,270.686571728,1,1,7
20,-77.5,199.5,34.0978012085,97.3688201904,-1.82050263882,270.561272943,1,1,7
21,-77.5,200.5,34.09192276,99.2961730957,-1.82382082939,270.67349022,1,1,7
22,-77.5,314.5,34.5166473389,117.750343323,-1.82304561138,338.578553407,2,3,8
23,-77.5,315.5,34.5139770508,141.068237305,-1.82685124874,338.196053544,2,3,11
24,-77.5,316.5,34.5081481934,163.050582886,-1.82973122597,337.482437829,2,3,11
25,-77.5,317.5,34.4990348816,168.709503174,-1.83095932007,336.499087798,2,3,11
26,-77.5,318.5,34.487651825,166.343170166,-1.8307570219,335.3545521,2,3,11
27,-77.5,319.5,34.4746856689,157.408355713,-1.82846856117,334.087002098,2,3,11
28,-77.5,320.5,34.4610977173,153.455337524,-1.82096362114,332.903184334,2,3,11
29,-77.5,321.5,34.4480361938,147.288864136,-1.81452953815,331.866341423,2,3,11
30,-77.5,322.5,34.4344825745,141.508102417,-1.81203579903,330.872317373,2,3,11
