,ylat,xlon,SSS,MLD,SST,pCO2,k=5,k=10,k=15
0,-77.5,179.5,34.5066452026,305.97833252,-1.71750509739,320.660262707,3,4,4
1,-77.5,180.5,34.4870071411,281.341888428,-1.70642650127,318.302295544,3,4,4
2,-77.5,181.5,34.4626655579,251.92741394,-1.6989979744,316.334930018,3,4,4
3,-77.5,182.5,34.4364852905,223.493988037,-1.69675803185,315.366782175,3,4,4
4,-77.5,183.5,34.4115219116,197.270111084,-1.69581115246,315.533844906,3,4,4
5,-77.5,184.5,34.3876914978,152.315093994,-1.6976249218,317.092103968,3,9,6
6,-77.5,185.5,34.3662719727,91.77734375,-1.69713902473,320.049295412,3,9,14
7,-77.5,186.5,34.3495368958,87.2258605957,-1.70618963242,322.983781935,3,9,14
8,-77.5,187.5,34.3354682922,88.7463226318,-1.71514570713,325.307134404,3,9,14
9,-77.5,188.5,34.3230018616,90.313041687,-1.72378277779,327.270675748,3,9,14
10,-77.5,189.5,34.3120613098,88.1171875,-1.73105823994,328.971431789,3,9,14
11,-77.5,190.5,34.3028640747,86.4097137451,-1.73632872105,330.392775331,3,9,14
12,-77.5,191.5,34.2952270508,88.8307037354,-1.7402125597,331.476623729,3,9,14
13,-77.5,192.5,34.2884750366,91.0897674561,-1.7438955307,332.192296866,3,9,6
14,-77.5,193.5,34.2821540833,92.9549636841,-1.74773216248,332.623299299,3,9,6
15,-77.5,194.5,34.2760925293,94.0215530396,-1.75238823891,332.596351699,3,9,6
16,-77.5,195.5,34.2688941956,95.3883895874,-1.75499629974,332.156324262,3,9,6
17,-77.5,196.5,34.2604904175,96.8836517334,-1.75576293468,331.287250786,3,9,6
18,-77.5,197.5,34.2508277893,98.2358703613,-1.75491642952,330.161180391,3,9,6
19,-77.5,198.5,34.240196228,99.7785110474,-1.75269472599,328.973667524,3,9,6
20,-77.5,199.5,34.2307052612,101.355476379,-1.74839222431,327.865376364,3,9,6
21,-77.5,200.5,34.2244415283,102.666358948,-1.74204146862,327.004611366,3,9,6
22,-77.5,314.5,34.5398101807,62.5464248657,-1.77465677261,354.48647392,3,1,3
23,-77.5,315.5,34.5363731384,66.2759475708,-1.77556061745,354.471757756,3,1,3
24,-77.5,316.5,34.5304870605,71.3806610107,-1.77739143372,354.346871163,3,1,3
25,-77.5,317.5,34.5225334167,75.2777328491,-1.7780097723,354.331749559,3,9,6
26,-77.5,318.5,34.5136795044,78.0403289795,-1.77680277824,354.4318093,3,9,6
27,-77.5,319.5,34.5045890808,79.5999069214,-1.77448523045,354.532045221,3,9,6
28,-77.5,320.5,34.4960098267,80.0052337646,-1.77175629139,354.64574294,3,9,6
29,-77.5,321.5,34.4872169495,81.0969619751,-1.76588892937,354.585872276,3,9,6
30,-77.5,322.5,34.4774360657,82.3593139648,-1.75930762291,354.342893861,3,9,6
31,-77.5,323.5,34.4670829773,83.1310119629,-1.75375711918,354.008750717,3,9,6
32,-77.5,324.5,34.4594268799,84.5965957642,-1.74834287167,353.878778702,3,9,6
33,-76.5,164.5,34.7364463806,138.000854492,-1.7241743803,344.138103936,3,9,6
34,-76.5,165.5,34.7287712097,132.581161499,-1.71909081936,343.337793776,3,9,6
35,-76.5,166.5,34.7191314697,126.861083984,-1.71575212479,342.17187934,3,9,6
36,-76.5,167.5,34.7083587646,127.609909058,-1.72019076347,340.65985165,3,9,6
37,-76.5,168.5,34.6950454712,132.536392212,-1.72378468513,338.656342561,3,9,6
38,-76.5,169.5,34.6782035828,143.70904541,-1.71938347816,336.067126276,3,9,6
39,-76.5,170.5,34.658290863,156.770385742,-1.70498633385,333.064993867,3,9,6
40,-76.5,171.5,34.6380577087,168.539337158,-1.6856572628,330.684418581,3,4,4
41,-76.5,172.5,34.6187400818,175.874038696,-1.67147016525,329.205117133,3,4,4
42,-76.5,173.5,34.5999603271,179.24987793,-1.6680021286,328.264741622,3,4,4
43,-76.5,174.5,34.5813026428,182.811904907,-1.66956174374,327.543922715,3,4,4
44,-76.5,175.5,34.5623588562,184.833267212,-1.66562795639,326.904680025,3,4,4
45,-76.5,176.5,34.5429344177,182.736831665,-1.66530036926,326.403260052,3,4,4
46,-76.5,177.5,34.5226898193,174.9193573,-1.67055785656,326.038524395,3,4,4
47,-76.5,178.5,34.5009002686,156.552124023,-1.67096173763,325.433774251,3,9,6
48,-76.5,179.5,34.4780845642,129.435745239,-1.66819369793,324.244883048,3,9,6
49,-76.5,180.5,34.4548149109,100.641410828,-1.66684520245,322.785904971,3,9,14
50,-76.5,181.5,34.4311943054,76.8118972778,-1.66851449013,321.831591296,3,9,14
51,-76.5,182.5,34.4087867737,62.2059745789,-1.66963160038,322.162950175,1,2,14
52,-76.5,183.5,34.3906517029,58.3800582886,-1.66596734524,323.953766111,1,2,14
53,-76.5,184.5,34.3766021729,62.4385032654,-1.66212201118,326.220800865,1,1,14
54,-76.5,185.5,34.3627357483,66.4398117065,-1.66330265999,327.949723992,1,9,14
55,-76.5,186.5,34.3469657898,70.5551300049,-1.66225767136,330.756633519,3,9,14
56,-76.5,187.5,34.3297996521,74.7011184692,-1.66336643696,333.481342438,3,9,14
57,-76.5,188.5,34.3121109009,78.1148986816,-1.66931498051,334.966131021,3,9,14
58,-76.5,189.5,34.2944564819,81.1364212036,-1.67846214771,335.645080336,3,9,14
59,-76.5,190.5,34.2781829834,85.2114257812,-1.68384480476,336.769575738,3,9,14
60,-76.5,191.5,34.2637825012,90.23853302,-1.68542563915,338.270118534,3,9,6
61,-76.5,192.5,34.2500495911,93.9119110107,-1.69332015514,338.598212566,3,9,6
62,-76.5,193.5,34.2368583679,96.0618133545,-1.70705258846,338.147978576,3,9,6
63,-76.5,194.5,34.2233963013,97.6559448242,-1.72381210327,337.177036625,3,9,6
64,-76.5,195.5,34.2098197937,100.471389771,-1.73727452755,336.248843512,3,9,6
65,-76.5,196.5,34.1958351135,103.563713074,-1.74849975109,335.2242727,3,9,6
66,-76.5,197.5,34.1816329956,106.67539978,-1.7571130991,334.125782254,3,9,6
67,-76.5,198.5,34.1671257019,109.951370239,-1.76344966888,332.985165016,3,9,6
68,-76.5,199.5,34.1522941589,113.811805725,-1.76771867275,331.928769403,3,9,6
69,-76.5,200.5,34.1370773315,118.828819275,-1.77029287815,331.103670373,3,9,6
70,-76.5,201.5,34.1209831238,124.798561096,-1.77246165276,330.629319392,3,9,6
71,-76.5,202.5,34.103302002,129.217300415,-1.77603089809,330.70012553,3,9,6
72,-76.5,203.5,34.0894126892,131.538345337,-1.77871227264,330.869940562,3,9,6
73,-76.5,204.5,34.0780334473,133.307159424,-1.77979922295,330.873916975,3,9,6
74,-76.5,205.5,34.0683135986,134.449081421,-1.78033411503,330.683240967,3,9,6
75,-76.5,206.5,34.0601730347,135.248001099,-1.77961409092,330.341882612,3,9,6
76,-76.5,207.5,34.0536270142,135.516876221,-1.77753186226,329.903612865,3,9,6
77,-76.5,208.5,34.0488929749,135.297546387,-1.77371001244,329.441814322,3,9,6
