,ylat,xlon,SSS,MLD,SST,pCO2,k=5,k=10,k=15
0,-77.5,179.5,34.3271484375,137.219909668,-1.82249522209,249.454163525,4,8,0
1,-77.5,180.5,34.3128395081,141.520263672,-1.81897461414,249.335198183,4,8,0
2,-77.5,181.5,34.2954139709,148.224533081,-1.81560468674,249.118959632,4,8,0
3,-77.5,182.5,34.2757568359,153.079315186,-1.81480062008,248.625265963,4,8,0
4,-77.5,183.5,34.2548484802,152.695465088,-1.81760966778,247.789332773,4,8,0
5,-77.5,184.5,34.2317085266,139.986465454,-1.82158601284,246.716932114,4,8,0
6,-77.5,185.5,34.2047233582,88.9099502563,-1.82288432121,245.561423192,4,8,0
7,-77.5,186.5,34.178237915,79.0093841553,-1.82297849655,244.508538862,4,8,0
8,-77.5,187.5,34.1542015076,75.238494873,-1.82426536083,243.408291307,4,8,0
9,-77.5,188.5,34.1315536499,72.9920654297,-1.82564139366,242.304003403,4,8,0
10,-77.5,189.5,34.1104240417,70.7687835693,-1.82613694668,241.265412852,4,8,0
11,-77.5,190.5,34.0917015076,68.7902832031,-1.82630801201,240.083231483,4,8,0
12,-77.5,191.5,34.0754890442,67.567817688,-1.82678377628,238.482414715,4,8,0
13,-77.5,192.5,34.0606155396,66.6791992188,-1.82677483559,236.425908443,4,8,0
14,-77.5,193.5,34.0463218689,66.0542449951,-1.82505118847,234.029614885,4,8,0
15,-77.5,194.5,34.0332183838,65.7776031494,-1.81977820396,231.576487014,4,8,0
16,-77.5,195.5,34.0214729309,65.457824707,-1.81569766998,229.889441474,4,8,0
17,-77.5,196.5,34.0105667114,65.5082931519,-1.8156760931,228.693880204,4,8,0
18,-77.5,197.5,33.9997329712,65.9920120239,-1.81948101521,227.877303786,4,8,0
19,-77.5,198.5,33.9880714417,66.533996582,-1.82410645485,227.353527277,4,8,0
20,-77.5,199.5,33.9781494141,67.2121047974,-1.82757782936,227.134683901,4,8,0
21,-77.5,200.5,33.9726333618,68.1844940186,-1.8301525116,227.218571442,4,8,0
22,-77.5,314.5,34.4503707886,89.311920166,-1.82719576359,309.420574561,4,8,0
23,-77.5,315.5,34.4460983276,99.1588592529,-1.83002448082,308.970270467,4,8,0
24,-77.5,316.5,34.4379806519,107.473922729,-1.83248639107,308.138087435,4,8,0
25,-77.5,317.5,34.4260482788,108.050827026,-1.83408212662,307.142882591,4,8,0
26,-77.5,318.5,34.4114227295,106.966621399,-1.83466458321,306.063924527,4,8,0
27,-77.5,319.5,34.3946533203,103.635093689,-1.83299410343,304.869954197,4,8,0
28,-77.5,320.5,34.376625061,102.550598145,-1.82479429245,303.783298484,4,8,0
29,-77.5,321.5,34.3597259521,99.5563583374,-1.8177665472,302.972730862,4,8,0
30,-77.5,322.5,34.343006134,96.6590118408,-1.81689703465,302.229636054,4,8,0
31,-77.5,323.5,34.3257637024,92.9479827881,-1.81915986538,301.481158534,4,8,0
32,-77.5,324.5,34.311706543,89.9513778687,-1.81899023056,301.077792115,4,8,0
33,-76.5,164.5,34.6506576538,145.49848938,-1.83590686321,260.754029263,4,8,0
34,-76.5,165.5,34.6374320984,136.398971558,-1.82172000408,258.040020244,4,8,0
35,-76.5,166.5,34.6197280884,125.620353699,-1.81374275684,255.204820741,4,8,0
36,-76.5,167.5,34.6000022888,119.783615112,-1.81072568893,253.427339635,4,8,0
37,-76.5,168.5,34.5783004761,117.712242126,-1.8101670742,252.976276332,4,8,0
38,-76.5,169.5,34.5535469055,117.146202087,-1.8124358654,253.546361924,4,8,0
39,-76.5,170.5,34.5246238708,116.450614929,-1.81754088402,254.636805784,4,8,0
40,-76.5,171.5,34.4956245422,116.420539856,-1.81577527523,255.966683405,4,8,0
41,-76.5,172.5,34.4692230225,114.344184875,-1.80504369736,257.202150337,4,8,0
42,-76.5,173.5,34.4449920654,109.055290222,-1.79211211205,258.035734656,4,8,0
43,-76.5,174.5,34.4214668274,104.48500824,-1.78309977055,258.273052503,4,8,0
44,-76.5,175.5,34.3975868225,100.312423706,-1.77737081051,257.877736612,4,8,0
45,-76.5,176.5,34.3721504211,94.6457977295,-1.77304708958,256.979246561,4,8,0
46,-76.5,177.5,34.3446884155,90.4136962891,-1.76738595963,255.810611858,4,8,0
47,-76.5,178.5,34.3160896301,88.2546844482,-1.7597438097,254.501817481,4,8,0
48,-76.5,179.5,34.288444519,86.7925643921,-1.75356352329,253.036495338,4,8,0
49,-76.5,180.5,34.2632369995,85.8885803223,-1.75241219997,251.41117943,4,8,0
50,-76.5,181.5,34.2385978699,79.8284912109,-1.75700056553,249.815846303,4,8,0
51,-76.5,182.5,34.2114105225,69.1430969238,-1.76420867443,248.723085131,4,8,0
52,-76.5,183.5,34.182094574,64.4415435791,-1.76930940151,248.571706158,4,8,0
53,-76.5,184.5,34.1569633484,62.3122711182,-1.77100431919,248.986089096,4,8,0
54,-76.5,185.5,34.1348228455,60.5934791565,-1.7736634016,248.986690048,4,8,0
55,-76.5,186.5,34.1090354919,58.5613479614,-1.7738764286,249.845582645,4,8,0
56,-76.5,187.5,34.0820922852,57.1348762512,-1.77505970001,250.866858636,4,8,0
57,-76.5,188.5,34.0557060242,56.0514144897,-1.77796876431,251.553824423,4,8,0
58,-76.5,189.5,34.0303382874,55.0920639038,-1.78189766407,251.798040742,4,8,0
59,-76.5,190.5,34.0067558289,54.0981369019,-1.7846750021,251.691692901,4,8,0
60,-76.5,191.5,33.9855270386,53.1146011353,-1.78595948219,251.078338277,4,8,0
61,-76.5,192.5,33.966053009,52.3904380798,-1.788438797,249.513037746,4,8,0
62,-76.5,193.5,33.9471664429,51.9721374512,-1.79290664196,246.989189086,4,8,0
63,-76.5,194.5,33.9274787903,51.9758338928,-1.79850327969,243.918907018,4,8,0
64,-76.5,195.5,33.9076499939,52.1542205811,-1.80211782455,241.259313768,4,8,0
65,-76.5,196.5,33.8879814148,52.3906936646,-1.80522596836,238.983144995,4,8,0
66,-76.5,197.5,33.8690376282,52.7109031677,-1.80786287785,237.063075699,4,8,0
67,-76.5,198.5,33.8505859375,53.1771011353,-1.81050801277,235.447946152,4,8,0
68,-76.5,199.5,33.8320541382,53.7769889832,-1.81403100491,234.079369569,4,8,0
69,-76.5,200.5,33.8123550415,54.5846138,-1.81923556328,232.875497563,4,8,0
70,-76.5,201.5,33.7891120911,55.574131012,-1.82529044151,231.790860225,4,8,0
71,-76.5,202.5,33.7592926025,55.9445533752,-1.82789862156,230.964325804,4,8,0
72,-76.5,203.5,33.7366790771,56.4636077881,-1.82883942127,230.381846001,4,8,0
73,-76.5,204.5,33.7189483643,56.7726287842,-1.82868278027,230.084864263,4,8,0
74,-76.5,205.5,33.7043190002,57.0550537109,-1.82847547531,230.02855583,4,8,0
75,-76.5,206.5,33.6927032471,57.3673858643,-1.82782030106,230.206543269,4,8,0
76,-76.5,207.5,33.6841125488,57.7763366699,-1.82670199871,230.60533892,4,8,0
77,-76.5,208.5,33.6785469055,58.31798172,-1.82512152195,231.14963294,4,8,0
78,-76.5,309.5,34.3934822083,81.1425323486,-1.81780707836,302.755154538,4,8,0
79,-76.5,310.5,34.3876876831,76.7456970215,-1.81837368011,302.149667411,4,8,0
80,-76.5,311.5,34.3795776367,70.4600448608,-1.81134414673,301.739185076,4,8,0
81,-76.5,312.5,34.3705825806,66.4764328003,-1.80165278912,301.283485131,4,8,0
82,-76.5,313.5,34.3606948853,64.3893737793,-1.79668605328,300.762224767,4,8,0
83,-76.5,314.5,34.3500404358,63.5204353333,-1.79434597492,300.296507003,4,8,0
84,-76.5,315.5,34.3387184143,63.3560752869,-1.79378759861,300.047984091,4,8,0
85,-76.5,316.5,34.3262519836,63.4802436829,-1.794506073,300.041091645,4,8,0
86,-76.5,317.5,34.3122787476,63.6721916199,-1.7957419157,300.229725865,4,8,0
87,-76.5,318.5,34.297203064,63.948551178,-1.79689657688,300.601031248,4,8,0
88,-76.5,319.5,34.2814979553,64.3030395508,-1.79790258408,301.091672334,4,8,0
89,-76.5,320.5,34.2649116516,64.7133483887,-1.79879486561,301.608138773,4,8,0
90,-76.5,321.5,34.2483024597,65.5497589111,-1.79819965363,302.170935463,4,8,0
91,-76.5,322.5,34.231212616,67.0036773682,-1.79890990257,302.609093777,4,8,0
92,-76.5,323.5,34.2133369446,69.0499801636,-1.80037403107,302.951115335,4,8,0
93,-76.5,324.5,34.194644928,71.7524871826,-1.80310225487,303.21824844,4,8,0
94,-76.5,325.5,34.1759109497,75.609703064,-1.80692350864,303.418032468,4,8,0
95,-76.5,326.5,34.1573524475,80.6487350464,-1.81101083755,303.609961622,4,8,0
96,-76.5,327.5,34.1394081116,85.6973266602,-1.81428742409,303.908231129,4,8,0
97,-76.5,328.5,34.1272163391,88.8314590454,-1.81467962265,304.315816929,4,8,0
98,-76.5,329.5,34.1210899353,83.4857940674,-1.81444764137,304.800789005,4,8,0
99,-75.5,164.5,34.6205673218,129.274612427,-1.83847093582,264.643042297,4,8,0
100,-75.5,165.5,34.5973739624,111.474838257,-1.81290578842,260.006370411,4,8,0
101,-75.5,166.5,34.5674514771,93.9445648193,-1.79709601402,255.146372364,4,8,0
102,-75.5,167.5,34.5374488831,86.8058853149,-1.78857600689,251.88620186,4,8,0
103,-75.5,168.5,34.5097312927,84.379524231,-1.78263294697,250.642559124,4,8,0
104,-75.5,169.5,34.4833297729,83.3820266724,-1.77471709251,251.089620219,4,8,0
105,-75.5,170.5,34.4562606812,82.23021698,-1.76227355003,252.946446393,4,8,0
106,-75.5,171.5,34.426776886,79.5146560669,-1.74585592747,255.774944245,4,8,0
107,-75.5,172.5,34.3939094543,75.1257400513,-1.72990465164,258.899429935,4,8,0
108,-75.5,173.5,34.3591575623,70.3538742065,-1.72002565861,261.549008344,4,8,0
109,-75.5,174.5,34.3264541626,66.8592910767,-1.71834695339,263.226752714,4,8,0
110,-75.5,175.5,34.2984848022,65.1585845947,-1.72053420544,264.16422555,4,8,0
111,-75.5,176.5,34.2747344971,63.3759460449,-1.72417795658,264.456477202,4,8,0
112,-75.5,177.5,34.2537918091,61.6458778381,-1.72831594944,264.073026208,4,8,0
113,-75.5,178.5,34.2334098816,59.9006614685,-1.73267960548,263.281790651,4,8,0
114,-75.5,179.5,34.2141685486,58.0882415771,-1.73841178417,261.945473875,4,8,0
115,-75.5,180.5,34.1947593689,56.4260025024,-1.74348473549,260.535264863,4,8,0
116,-75.5,181.5,34.1708984375,54.8815689087,-1.74674534798,260.163656389,4,8,0
117,-75.5,182.5,34.1393699646,53.4974212646,-1.74924695492,261.485267325,4,8,0
118,-75.5,183.5,34.1028251648,52.5747451782,-1.75379443169,263.604788248,4,8,0
119,-75.5,184.5,34.0697669983,51.898891449,-1.76434075832,264.37115634,4,8,0
