,ylat,xlon,SSS,MLD,SST,pCO2,k=5,k=10,k=15
0,-77.5,179.5,34.2671356201,18.7920398712,-0.0458324849606,145.231537849,2,6,7
1,-77.5,180.5,34.2424697876,17.2702407837,-0.119936026633,146.06063937,2,6,7
2,-77.5,181.5,34.2109413147,15.899561882,-0.225300297141,146.663414816,2,6,7
3,-77.5,182.5,34.1768379211,14.5667762756,-0.355241894722,147.105566929,2,6,7
4,-77.5,183.5,34.1455307007,14.1388549805,-0.488815695047,147.54964024,2,6,7
5,-77.5,184.5,34.1167144775,13.341137886,-0.646379590034,148.539633696,2,6,7
6,-77.5,185.5,34.0919723511,12.8393440247,-0.831781625748,150.640569117,2,6,7
7,-77.5,186.5,34.0761947632,12.9527864456,-0.982756435871,153.410428074,2,6,7
8,-77.5,187.5,34.0655632019,13.1443061829,-1.08569991589,156.518072167,2,6,7
9,-77.5,188.5,34.0577201843,13.4048366547,-1.16030049324,160.218059185,2,6,7
10,-77.5,189.5,34.0523376465,13.8959417343,-1.21466422081,164.353056583,2,6,7
11,-77.5,190.5,34.0483055115,14.6248703003,-1.2459821701,168.083441493,2,6,7
12,-77.5,191.5,34.0433883667,15.4206132889,-1.25639617443,170.701312055,2,6,7
13,-77.5,192.5,34.0353736877,16.0650253296,-1.25900518894,172.274480527,2,6,7
14,-77.5,193.5,34.0228233337,16.3760433197,-1.25984036922,173.024758121,2,6,7
15,-77.5,194.5,34.0058326721,16.3943119049,-1.25170350075,172.77042741,2,6,7
16,-77.5,195.5,33.9933547974,16.3716316223,-1.22504162788,172.497233567,2,6,7
17,-77.5,196.5,33.9808998108,16.2636318207,-1.18533968925,171.036619616,2,6,7
18,-77.5,197.5,33.967628479,15.8572006226,-1.14689743519,168.623275902,2,6,7
19,-77.5,198.5,33.9531860352,15.4583368301,-1.12566506863,165.811321227,2,6,7
20,-77.5,199.5,33.943069458,15.2762260437,-1.10131466389,163.337517352,2,6,7
21,-77.5,200.5,33.9422912598,15.4897136688,-1.05734848976,161.718706015,2,6,7
22,-77.5,314.5,34.3521766663,18.9297714233,-1.50399196148,244.869110627,2,6,7
23,-77.5,315.5,34.3486709595,18.8249797821,-1.49387001991,245.245288828,2,6,7
24,-77.5,316.5,34.340171814,18.4256362915,-1.49551987648,244.354290296,2,6,7
25,-77.5,317.5,34.3294754028,18.3483943939,-1.50822818279,244.187920301,2,6,7
26,-77.5,318.5,34.3178215027,18.0823287964,-1.52310228348,244.528253261,2,6,7
