,ylat,xlon,SSS,MLD,SST,pCO2,k=5,k=10,k=15
0,-77.5,179.5,34.518157959,400.189117432,-1.82927584648,342.401211322,2,9,12
1,-77.5,180.5,34.5041694641,403.646789551,-1.81811177731,342.094233411,2,9,12
2,-77.5,181.5,34.4855957031,406.217834473,-1.80575919151,341.51138483,2,9,12
3,-77.5,182.5,34.4635047913,397.976806641,-1.79521262646,340.456617562,2,9,12
4,-77.5,183.5,34.4399490356,370.488739014,-1.79071176052,338.830194343,2,9,12
5,-77.5,184.5,34.414516449,330.961914062,-1.79099500179,336.654840933,2,9,12
6,-77.5,185.5,34.388130188,178.511444092,-1.78619074821,334.423786536,2,9,12
7,-77.5,186.5,34.365447998,148.651550293,-1.78306210041,332.404750479,2,9,11
8,-77.5,187.5,34.3448104858,134.870742798,-1.78636479378,330.266881811,2,6,11
9,-77.5,188.5,34.3255500793,125.743133545,-1.7926774025,328.136317419,2,6,11
10,-77.5,189.5,34.3078231812,118.450050354,-1.79797661304,326.230597149,2,6,11
11,-77.5,190.5,34.2923355103,114.953971863,-1.80140209198,324.584961135,2,6,5
12,-77.5,191.5,34.2791900635,116.033615112,-1.80400717258,323.07422536,2,6,5
13,-77.5,192.5,34.2674484253,117.673477173,-1.80607700348,321.591862935,2,6,5
14,-77.5,193.5,34.2565193176,119.453552246,-1.80684006214,320.157791055,2,6,11
15,-77.5,194.5,34.2466239929,121.599220276,-1.80416214466,318.929214971,2,6,11
16,-77.5,195.5,34.2370605469,122.178413391,-1.80191659927,317.980978382,2,6,11
17,-77.5,196.5,34.2275428772,123.433876038,-1.80206251144,317.224386943,2,6,11
18,-77.5,197.5,34.2174453735,125.243858337,-1.80489504337,316.581716018,2,6,11
19,-77.5,198.5,34.2064590454,126.952400208,-1.80885207653,315.993081666,2,6,11
20,-77.5,199.5,34.1969337463,128.998901367,-1.81221544743,315.539980989,2,6,11
21,-77.5,200.5,34.1911697388,131.340133667,-1.81456410885,315.321207347,2,6,11
22,-77.5,314.5,34.5635414124,146.173233032,-1.83211290836,353.665977306,2,9,12
23,-77.5,315.5,34.5613098145,179.577468872,-1.83466279507,353.601305015,2,9,12
24,-77.5,316.5,34.5563926697,212.579437256,-1.83629143238,353.577553714,2,9,12
25,-77.5,317.5,34.5489234924,228.772033691,-1.83643639088,353.545048667,2,9,12
26,-77.5,318.5,34.5397605896,230.075164795,-1.83519411087,353.440654794,2,9,12
27,-77.5,319.5,34.5292816162,219.314025879,-1.83191049099,353.210789701,2,9,12
28,-77.5,320.5,34.5180549622,200.343811035,-1.82420051098,352.901863473,2,9,12
29,-77.5,321.5,34.5067672729,188.042831421,-1.81754505634,352.477545438,2,9,12
30,-77.5,322.5,34.4944953918,178.748825073,-1.81439244747,351.968867794,2,9,12
31,-77.5,323.5,34.4812545776,172.397369385,-1.81237030029,351.489424432,2,9,12
32,-77.5,324.5,34.4706192017,165.097702026,-1.81005144119,351.19006944,2,9,12
33,-76.5,164.5,34.7646408081,369.628051758,-1.841386199,349.050729672,2,9,12
34,-76.5,165.5,34.7575340271,339.516540527,-1.83347344398,348.591879425,2,9,12
35,-76.5,166.5,34.7465705872,290.022979736,-1.82777738571,347.874217121,2,9,12
36,-76.5,167.5,34.7324409485,262.766906738,-1.82406353951,347.132041319,2,9,12
37,-76.5,168.5,34.7154655457,254.253936768,-1.82259762287,346.431666428,2,9,12
38,-76.5,169.5,34.6950874329,254.768249512,-1.82365334034,345.819782536,2,9,12
39,-76.5,170.5,34.6709671021,261.140563965,-1.82703030109,345.283068171,2,9,12
40,-76.5,171.5,34.6463088989,268.194549561,-1.82426297665,344.967899981,2,9,12
41,-76.5,172.5,34.6230316162,268.831695557,-1.81075966358,344.944114034,2,9,12
42,-76.5,173.5,34.6011657715,263.700866699,-1.79070365429,345.130961346,2,9,12
43,-76.5,174.5,34.5805625916,262.799133301,-1.7716524601,345.299412563,2,9,12
44,-76.5,175.5,34.561126709,267.937988281,-1.75422668457,345.346880886,2,9,12
45,-76.5,176.5,34.5425109863,277.138671875,-1.73877537251,345.185904976,2,9,12
46,-76.5,177.5,34.5241928101,291.205047607,-1.72475874424,344.77683753,2,9,12
47,-76.5,178.5,34.505859375,305.447814941,-1.71168780327,344.104503616,2,9,12
